ID,Должность,Возраст,Опыт_лет,Город,Образование,Уровень,Отрасль,Язык_программирования,Уровень_английского,Количество_проектов,Зарплата_тыс
1,Full Stack Developer,42,16.0,Екатеринбург,Бакалавр,Architect,Промышленность,PHP,C1,14,600.0
2,Data Analyst,38,13.2,Самара,Бакалавр,Lead,Госсектор,Python,B2,14,600.0
3,System Administrator,35,8.9,Ростов-на-Дону,MBA,Senior,E-commerce,Ruby,B2,9,485.2
4,Frontend Developer,35,12.3,Волгоград,Магистр,Lead,Промышленность,Ruby,B2,12,600.0
5,Cloud Architect,23,3.9,Волгоград,Бакалавр,Junior,Финтех,C++,C2,4,230.1
6,QA Engineer,35,9.3,Уфа,Магистр,Senior,Ритейл,JavaScript,C1,11,419.5
7,Product Manager,33,12.3,Пермь,Среднее,Lead,Промышленность,PHP,A1,9,600.0
8,Data Analyst,24,0.8,Ростов-на-Дону,Магистр,Junior,Телеком,Ruby,A2,1,103.1
9,Software Engineer,35,12.7,Воронеж,Магистр,Lead,E-commerce,PHP,C2,13,600.0
10,Python Developer,28,8.0,Волгоград,Магистр,Middle,E-commerce,Kotlin,B2,7,357.5
11,Cloud Architect,51,18.0,Краснодар,Бакалавр,Architect,E-commerce,C++,C1,18,600.0
12,Backend Developer,38,17.7,Воронеж,Бакалавр,Architect,Телеком,C++,C2,17,600.0
13,Product Manager,30,7.4,Уфа,PhD,Middle,Ритейл,Java,C2,5,433.5
14,Security Engineer,26,4.8,Москва,Бакалавр,Middle,Медицина,C++,A1,3,270.1
15,Product Manager,22,5.4,Санкт-Петербург,MBA,Middle,Госсектор,Python,A2,6,588.0
16,Full Stack Developer,28,5.9,Уфа,Бакалавр,Middle,IT,Ruby,B1,7,288.5
17,Cloud Architect,42,16.2,Воронеж,PhD,Architect,Госсектор,Swift,B2,12,600.0
18,System Administrator,39,17.2,Ростов-на-Дону,PhD,Architect,IT,Ruby,B2,16,600.0
19,Data Analyst,29,8.0,Екатеринбург,Бакалавр,Senior,IT,Kotlin,A1,9,353.0
20,Data Scientist,46,19.9,Екатеринбург,Бакалавр,Architect,Промышленность,Java,B1,17,600.0
21,Backend Developer,38,15.7,Ростов-на-Дону,PhD,Lead,E-commerce,Java,C2,15,600.0
22,Software Engineer,23,0.6,Екатеринбург,Магистр,Junior,IT,C++,A1,0,124.2
23,Security Engineer,32,6.8,Краснодар,Магистр,Middle,Госсектор,Java,C2,5,380.3
24,Security Engineer,36,12.0,Москва,Бакалавр,Lead,Образование,Python,B2,13,600.0
25,Product Manager,36,14.6,Уфа,Бакалавр,Lead,IT,Swift,C1,13,600.0
26,Security Engineer,42,19.3,Нижний Новгород,Бакалавр,Architect,E-commerce,Swift,A2,16,600.0
27,Data Analyst,26,1.9,Москва,Бакалавр,Junior,Промышленность,JavaScript,A2,2,108.5
28,Python Developer,27,3.2,Пермь,Бакалавр,Junior,Телеком,Swift,C1,3,187.7
29,Software Engineer,35,12.7,Новосибирск,Среднее,Lead,Ритейл,JavaScript,C2,11,595.1
30,QA Engineer,37,11.1,Уфа,Среднее,Senior,Образование,C#,A1,10,325.0
31,Product Manager,25,4.7,Волгоград,Бакалавр,Middle,Финтех,Ruby,B2,5,313.1
32,Product Manager,38,14.4,Казань,Магистр,Lead,Телеком,C#,A2,12,600.0
33,Cloud Architect,35,14.1,Казань,Бакалавр,Lead,IT,PHP,C1,11,600.0
34,System Administrator,46,14.9,Ростов-на-Дону,Бакалавр,Lead,Образование,C#,C2,13,600.0
35,Cloud Architect,24,1.3,Москва,Магистр,Junior,Образование,Ruby,B2,5,232.9
36,Full Stack Developer,23,1.4,Воронеж,Магистр,Junior,Медицина,Python,B2,2,198.6
37,Data Analyst,35,13.7,Москва,PhD,Lead,Промышленность,Java,A1,13,600.0
38,QA Engineer,24,4.5,Самара,Среднее,Middle,Промышленность,Ruby,A1,5,168.5
39,System Administrator,40,17.0,Ростов-на-Дону,Магистр,Architect,Образование,PHP,B2,17,600.0
40,System Administrator,30,6.0,Краснодар,Магистр,Middle,Промышленность,JavaScript,A1,7,265.5
41,Full Stack Developer,43,18.6,Екатеринбург,Магистр,Architect,Ритейл,Python,A1,14,600.0
42,Backend Developer,30,6.3,Пермь,Бакалавр,Middle,Ритейл,C#,B1,9,276.1
43,DevOps Engineer,40,13.6,Самара,Среднее,Lead,Образование,Kotlin,C2,11,600.0
44,Machine Learning Engineer,40,17.8,Нижний Новгород,Магистр,Architect,Телеком,Python,C1,17,600.0
45,Security Engineer,37,14.2,Екатеринбург,MBA,Lead,IT,Python,C2,15,600.0
46,Cloud Architect,38,18.2,Новосибирск,Магистр,Architect,Телеком,Kotlin,A2,16,600.0
47,Security Engineer,34,10.1,Новосибирск,Бакалавр,Senior,Ритейл,Swift,A1,12,490.4
48,Cloud Architect,33,9.8,Казань,PhD,Senior,Образование,C#,C2,11,600.0
49,DevOps Engineer,35,11.3,Нижний Новгород,Магистр,Senior,E-commerce,C#,C2,9,589.5
50,Full Stack Developer,23,1.4,Уфа,Бакалавр,Junior,Финтех,C++,A2,4,164.2
51,Product Manager,25,2.0,Нижний Новгород,Бакалавр,Junior,Финтех,Java,C1,5,263.9
52,Machine Learning Engineer,35,14.7,Нижний Новгород,Магистр,Lead,IT,Ruby,A1,15,600.0
53,Data Scientist,46,19.8,Ростов-на-Дону,PhD,Architect,E-commerce,Python,A2,15,600.0
54,Cloud Architect,29,5.8,Казань,PhD,Middle,Ритейл,Java,A1,5,442.6
55,Security Engineer,25,5.4,Самара,Магистр,Middle,Финтех,PHP,A2,5,423.9
56,Backend Developer,44,15.6,Краснодар,Магистр,Lead,Образование,Swift,A1,14,600.0
57,Frontend Developer,38,13.0,Екатеринбург,Магистр,Lead,Ритейл,Java,A2,12,600.0
58,Backend Developer,32,9.3,Уфа,Магистр,Senior,IT,C++,A2,11,526.6
59,QA Engineer,36,15.5,Нижний Новгород,Бакалавр,Lead,Промышленность,Swift,B1,14,600.0
60,DevOps Engineer,29,4.0,Новосибирск,Магистр,Middle,Образование,Kotlin,B1,4,303.9
61,Frontend Developer,29,7.2,Санкт-Петербург,Магистр,Middle,IT,Kotlin,C2,8,312.4
62,Security Engineer,28,6.9,Екатеринбург,Среднее,Middle,IT,Python,A2,7,301.1
63,Data Analyst,38,15.1,Уфа,Бакалавр,Lead,Финтех,Ruby,C2,15,600.0
64,System Administrator,26,1.7,Новосибирск,Бакалавр,Junior,Ритейл,Go,B1,2,143.6
65,Full Stack Developer,29,7.9,Самара,PhD,Middle,E-commerce,Swift,B2,9,358.4
66,Software Engineer,34,10.2,Ростов-на-Дону,Магистр,Senior,Образование,Java,A2,11,502.6
67,Backend Developer,39,18.0,Нижний Новгород,Бакалавр,Architect,Образование,Python,C1,14,600.0
68,Backend Developer,34,7.6,Екатеринбург,PhD,Middle,Промышленность,Java,C1,8,365.9
69,Cloud Architect,45,18.0,Воронеж,Бакалавр,Architect,Промышленность,Swift,A2,16,600.0
70,QA Engineer,27,6.0,Пермь,Бакалавр,Middle,IT,C++,A1,4,230.2
71,QA Engineer,40,15.5,Уфа,Магистр,Lead,Образование,Go,A2,12,600.0
72,Full Stack Developer,37,11.2,Воронеж,Бакалавр,Senior,Промышленность,Python,A1,8,519.7
73,Backend Developer,33,8.5,Ростов-на-Дону,Бакалавр,Senior,Финтех,PHP,B1,10,432.3
74,Product Manager,32,7.9,Пермь,Бакалавр,Middle,E-commerce,C#,C2,6,351.5
75,Frontend Developer,28,4.1,Новосибирск,PhD,Middle,Госсектор,JavaScript,C2,3,272.1
76,Python Developer,35,15.1,Краснодар,Бакалавр,Lead,E-commerce,C#,B1,13,600.0
77,Backend Developer,40,18.8,Нижний Новгород,Бакалавр,Architect,Ритейл,C++,C1,17,600.0
78,Python Developer,37,14.3,Нижний Новгород,Магистр,Lead,Госсектор,Kotlin,A1,15,600.0
79,System Administrator,29,2.7,Новосибирск,Бакалавр,Junior,E-commerce,JavaScript,B1,5,119.7
80,DevOps Engineer,32,11.1,Уфа,Бакалавр,Senior,Финтех,Kotlin,C1,9,475.5
81,Software Engineer,30,5.5,Уфа,PhD,Middle,IT,PHP,C1,8,358.2
82,Product Manager,29,7.8,Уфа,PhD,Middle,Образование,Go,B1,6,462.2
83,Cloud Architect,27,1.6,Воронеж,Бакалавр,Junior,Госсектор,Swift,A2,4,179.3
84,Data Scientist,36,9.6,Краснодар,Бакалавр,Senior,Медицина,Go,A1,9,548.4
85,Backend Developer,26,1.2,Краснодар,Бакалавр,Junior,IT,C#,A1,1,124.2
86,DevOps Engineer,36,9.5,Воронеж,Магистр,Senior,Промышленность,Ruby,B1,7,548.8
87,Machine Learning Engineer,37,7.3,Санкт-Петербург,Магистр,Middle,Госсектор,Java,A2,5,377.1
88,Product Manager,38,9.9,Новосибирск,Бакалавр,Senior,Финтех,Kotlin,A2,9,526.7
89,Product Manager,40,16.1,Ростов-на-Дону,Бакалавр,Architect,Образование,PHP,C2,14,600.0
90,Machine Learning Engineer,48,17.8,Казань,Магистр,Architect,Госсектор,C++,B2,16,600.0
91,Frontend Developer,30,8.4,Новосибирск,Магистр,Senior,Медицина,Java,C1,10,468.2
92,System Administrator,28,8.7,Казань,Магистр,Senior,Госсектор,C++,C1,9,436.0
93,Security Engineer,29,7.6,Уфа,Магистр,Middle,Телеком,Kotlin,C2,6,373.8
94,Python Developer,39,10.0,Воронеж,Бакалавр,Senior,Медицина,Go,C2,7,506.9
95,QA Engineer,33,10.8,Ростов-на-Дону,PhD,Senior,Госсектор,Kotlin,B2,12,473.9
96,Data Scientist,38,11.3,Воронеж,Среднее,Senior,Промышленность,Swift,C2,13,483.8
97,Data Scientist,33,12.2,Санкт-Петербург,Бакалавр,Lead,Госсектор,Kotlin,C2,12,600.0
98,Project Manager,27,4.1,Воронеж,PhD,Middle,Телеком,C++,A1,5,352.9
99,Data Analyst,42,11.5,Екатеринбург,Магистр,Senior,E-commerce,Kotlin,B2,9,472.2
